Potential	Current	Potential	Current	Potential	Current	Potential	Current	Potential	Current
V	A	V	A	V	A	V	A	V	A
	1 mHz		2 mHz		16 mHz		39 mHz		167 mHz
7.34329E-6	-2.27928E-11	8.36849E-6	-2.10047E-11	-1.90735E-6	-1.78099E-11	6.22273E-6	-2.18749E-11	7.31945E-6	-2.4128E-11
0.005	6.4373E-12	0.005	7.49826E-12	0.04	1.92368E-10	0.10001	5.8291E-10	0.49999	2.86237E-9
0.01001	3.45945E-11	0.01	3.50714E-11	0.08	3.93033E-10	0.20001	1.14576E-9	0.99998	4.70337E-9
0.01501	6.41823E-11	0.015	6.3169E-11	0.12	5.85187E-10	0.29997	1.64462E-9	0.99998	4.15727E-9
0.02	9.2876E-11	0.02001	9.0909E-11	0.16	7.67839E-10	0.39996	2.07382E-9	0.49999	2.18098E-9
0.025	1.21641E-10	0.025	1.18828E-10	0.2	9.3323E-10	0.49998	2.42198E-9	2.6226E-6	-1.27316E-10
0.03001	1.5074E-10	0.03	1.46198E-10	0.23998	1.08732E-9	0.59997	2.7131E-9	-0.50001	-2.90573E-9
0.035	1.79803E-10	0.035	1.73903E-10	0.27998	1.23334E-9	0.69999	2.93859E-9	-1.00002	-5.77334E-9
0.04	2.08962E-10	0.04001	2.01738E-10	0.31997	1.36483E-9	0.79997	3.17734E-9	-1.00002	-5.41869E-9
0.045	2.36928E-10	0.04501	2.28667E-10	0.35996	1.47787E-9	0.89999	3.39164E-9	-0.50001	-2.67172E-9
0.05	2.65753E-10	0.05001	2.56503E-10	0.39995	1.58811E-9	0.99998	3.59262E-9	3.3617E-6	6.42061E-11
0.05501	2.94912E-10	0.05501	2.84421E-10	0.43999	1.68457E-9	0.99998	3.42172E-9		
0.06001	3.2419E-10	0.06001	3.11017E-10	0.47998	1.78295E-9	0.89999	2.99246E-9		
0.06501	3.52037E-10	0.06501	3.39389E-10	0.51998	1.86661E-9	0.79997	2.67346E-9		
0.07001	3.811E-10	0.07001	3.66879E-10	0.55997	1.94068E-9	0.69999	2.39255E-9		
0.075	4.08506E-10	0.07501	3.94297E-10	0.59996	2.01021E-9	0.59998	2.12615E-9		
0.08001	4.3757E-10	0.08001	4.20952E-10	0.63999	2.06709E-9	0.49999	1.86985E-9		
0.085	4.65465E-10	0.08501	4.48072E-10	0.67999	2.12423E-9	0.39997	1.57905E-9		
0.09	4.9386E-10	0.09002	4.75681E-10	0.71999	2.19562E-9	0.29998	1.25098E-9		
0.09501	5.20802E-10	0.09501	5.01013E-10	0.75997	2.26356E-9	0.20001	8.7496E-10		
0.1	5.49984E-10	0.10001	5.28729E-10	0.79997	2.31127E-9	0.10001	4.38464E-10		
0.10501	5.78344E-10	0.10501	5.57148E-10	0.84	2.38485E-9	7.15256E-6	-6.14047E-11		
0.11001	6.05762E-10	0.11001	5.82314E-10	0.87999	2.42325E-9	-0.10001	-6.06442E-10		
0.11501	6.32894E-10	0.11501	6.08385E-10	0.91999	2.49498E-9	-0.20001	-1.18539E-9		
0.12001	6.60753E-10	0.12001	6.35064E-10	0.95999	2.5532E-9	-0.3	-1.7759E-9		
0.12501	6.8922E-10	0.12501	6.60765E-10	0.99998	2.59963E-9	-0.40002	-2.36621E-9		
0.13	7.16114E-10	0.13001	6.86884E-10	0.99998	2.50654E-9	-0.5	-2.96035E-9		
0.13501	7.44557E-10	0.13501	7.1187E-10	0.95998	2.37155E-9	-0.60002	-3.53391E-9		
0.14001	7.70867E-10	0.14001	7.39825E-10	0.91999	2.26328E-9	-0.7	-4.14461E-9		
0.145	7.97236E-10	0.14501	7.65133E-10	0.88	2.15518E-9	-0.80001	-4.85631E-9		
0.15	8.24404E-10	0.15001	7.89547E-10	0.84	2.0564E-9	-0.89999	-5.43118E-9		
0.155	8.48997E-10	0.15501	8.16905E-10	0.79998	1.96644E-9	-1.00001	-5.72168E-9		
0.16001	8.76558E-10	0.16001	8.40318E-10	0.75998	1.87817E-9	-1.00002	-5.2647E-9		
0.165	9.03106E-10	0.165	8.67116E-10	0.71999	1.79597E-9	-0.89999	-4.40861E-9		
0.17	9.29689E-10	0.17	8.92341E-10	0.68	1.73341E-9	-0.80001	-3.83856E-9		
0.175	9.57298E-10	0.175	9.18269E-10	0.63999	1.66235E-9	-0.7	-3.35696E-9		
0.18	9.81057E-10	0.18	9.44996E-10	0.59997	1.58359E-9	-0.60002	-2.8887E-9		
0.18499	1.00704E-9	0.185	9.66704E-10	0.55998	1.51203E-9	-0.5	-2.45427E-9		
0.19	1.03166E-9	0.19	9.8964E-10	0.51998	1.43226E-9	-0.40002	-2.0463E-9		
0.195	1.05572E-9	0.195	1.01511E-9	0.47999	1.35388E-9	-0.3	-1.58988E-9		
0.20001	1.08333E-9	0.2	1.03625E-9	0.44	1.27486E-9	-0.20001	-1.09998E-9		
0.20496	1.105E-9	0.20496	1.06078E-9	0.39997	1.19286E-9	-0.10001	-5.65612E-10		
0.20997	1.13151E-9	0.20997	1.08495E-9	0.35997	1.10929E-9	1.52826E-5	1.3876E-11		
0.21498	1.15674E-9	0.21498	1.10559E-9	0.31998	1.01308E-9				
0.21999	1.17568E-9	0.21999	1.13169E-9	0.27999	9.17518E-10				
0.22496	1.20137E-9	0.22496	1.15561E-9	0.24	8.11744E-10				
0.22996	1.22533E-9	0.22997	1.17435E-9	0.20001	6.95443E-10				
0.23497	1.2455E-9	0.23497	1.19777E-9	0.16001	5.71036E-10				
0.23999	1.26776E-9	0.23998	1.22243E-9	0.12001	4.34101E-10				
0.24496	1.2905E-9	0.24495	1.24372E-9	0.08001	2.882E-10				
0.24997	1.31075E-9	0.24996	1.26624E-9	0.04001	1.29926E-10				
0.25498	1.33584E-9	0.25497	1.28348E-9	1.09196E-5	-3.89218E-11				
0.25998	1.35492E-9	0.25998	1.30746E-9	-0.04002	-2.18236E-10				
0.26499	1.3799E-9	0.26499	1.32726E-9	-0.08002	-4.06587E-10				
0.26996	1.40152E-9	0.26996	1.34569E-9	-0.12002	-6.03187E-10				
0.27497	1.42132E-9	0.27497	1.36739E-9	-0.16002	-8.02529E-10				
0.27998	1.44154E-9	0.27998	1.3888E-9	-0.20002	-1.01019E-9				
0.28499	1.45785E-9	0.28499	1.41288E-9	-0.24002	-1.22076E-9				
0.28996	1.48033E-9	0.28996	1.43043E-9	-0.28	-1.43436E-9				
0.29497	1.49859E-9	0.29496	1.44699E-9	-0.31999	-1.64158E-9				
0.29998	1.52075E-9	0.29997	1.47667E-9	-0.35999	-1.84209E-9				
0.30498	1.5416E-9	0.30498	1.49187E-9	-0.40002	-2.03183E-9				
0.30999	1.55746E-9	0.30999	1.5137E-9	-0.44001	-2.22881E-9				
0.31496	1.57719E-9	0.31496	1.53326E-9	-0.48	-2.42083E-9				
0.31997	1.5898E-9	0.31996	1.55396E-9	-0.51999	-2.61703E-9				
