Potential	Current	E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A	V	A
	3.2 mHz		8 mHz		16 mHz		32.5 mHz		73.5 mHz		165 mHz
1.95265E-5	-2.91169E-11	2.5177E-5	-2.84207E-11	1.21832E-5	-3.86596E-11	1.07288E-5	-4.04954E-11	8.86917E-6	-3.75032E-11	3.88622E-6	-3.78609E-11
0.00202	1.77085E-11	0.00502	8.49688E-11	0.01001	2.08056E-10	0.01924	4.40705E-10	0.05	1.19756E-9	0.125	2.9631E-9
0.00402	6.38258E-11	0.01002	1.96978E-10	0.02001	4.51183E-10	0.03847	9.07981E-10	0.10001	2.35599E-9	0.24997	5.49897E-9
0.00602	1.09723E-10	0.01502	3.07331E-10	0.03001	6.89948E-10	0.0577	1.35993E-9	0.15001	3.42005E-9	0.24997	5.2762E-9
0.00802	1.56138E-10	0.02002	4.17615E-10	0.04001	9.25446E-10	0.07693	1.80091E-9	0.20001	4.3836E-9	0.12501	2.70081E-9
0.01002	2.01535E-10	0.02503	5.26201E-10	0.05001	1.15507E-9	0.09616	2.23055E-9	0.24997	5.22877E-9	5.4121E-6	-8.11458E-11
0.01202	2.45855E-10	0.03003	6.33948E-10	0.06002	1.38158E-9	0.11539	2.63288E-9	0.24997	5.1042E-9	-0.12501	-3.17616E-9
0.01402	2.9125E-10	0.03503	7.38214E-10	0.07002	1.61011E-9	0.13463	3.02918E-9	0.20002	4.10527E-9	-0.24999	-6.55698E-9
0.01602	3.354E-10	0.04003	8.42097E-10	0.08002	1.82625E-9	0.15386	3.4077E-9	0.15001	3.1397E-9	-0.24999	-6.68541E-9
0.01802	3.80094E-10	0.04502	9.44958E-10	0.09002	2.0468E-9	0.17309	3.76863E-9	0.10001	2.13414E-9	-0.12501	-3.32006E-9
0.02001	4.25456E-10	0.05002	1.04908E-9	0.10002	2.25446E-9	0.19232	4.09535E-9	0.05001	1.06763E-9	1.01805E-5	-4.01735E-12
0.02202	4.69592E-10	0.05502	1.14754E-9	0.11002	2.46919E-9	0.21151	4.4238E-9	9.82285E-6	-6.17743E-11		
0.02402	5.13728E-10	0.06003	1.24522E-9	0.12002	2.66134E-9	0.23076	4.72667E-9	-0.05001	-1.2592E-9		
