Potential	Current	Potential	Current	Potential	Current
V	A	V	A	V	A
	2 mHz		4 mHz		90 mHz
1.94073E-5	-2.28643E-10	2.56538E-5	-2.65956E-10	2.14338E-5	-3.56317E-10
0.01002	-1.22905E-10	0.01003	-1.62244E-10	0.24998	3.30758E-9
0.02002	-1.12057E-11	0.02003	-6.06775E-11	0.5	7.53248E-9
0.03003	1.03712E-10	0.03003	3.89814E-11	0.75001	1.31419E-8
0.04002	2.141E-10	0.04003	1.42813E-10	0.99999	1.96334E-8
0.05002	3.15428E-10	0.05003	2.40207E-10	0.99999	2.00123E-8
0.06003	4.26769E-10	0.06003	3.3927E-10	0.75001	1.43064E-8
0.07003	5.34177E-10	0.07003	4.42266E-10	0.5	8.91161E-9
0.08003	6.45518E-10	0.08003	5.35727E-10	0.24998	3.90184E-9
0.09002	7.5078E-10	0.09002	6.35147E-10	1.88112E-5	-4.78983E-10
0.10002	8.59737E-10	0.10002	7.34925E-10	-0.24998	-4.49049E-9
0.11002	9.65118E-10	0.11002	8.31246E-10	-0.49999	-9.50372E-9
0.12002	1.08576E-9	0.12002	9.29952E-10	-0.74999	-1.52612E-8
0.13002	1.19197E-9	0.13002	1.02794E-9	-1	-2.16142E-8
0.14002	1.30641E-9	0.14002	1.11365E-9	-1.00001	-2.15219E-8
0.15002	1.42038E-9	0.15002	1.22643E-9	-0.74999	-1.50628E-8
0.16002	1.52266E-9	0.16003	1.3268E-9	-0.5	-9.55033E-9
0.17002	1.64711E-9	0.17003	1.42753E-9	-0.24999	-4.42052E-9
0.18002	1.7637E-9	0.18003	1.53136E-9	2.30551E-5	-2.92301E-10
0.19003	1.894E-9	0.19003	1.64664E-9		
0.20002	2.00748E-9	0.20002	1.76501E-9		
0.20999	2.13063E-9	0.21	1.87588E-9		
0.22	2.25818E-9	0.22001	2.00713E-9		
0.22999	2.40088E-9	0.22999	2.10989E-9		
0.24	2.53642E-9	0.24001	2.21169E-9		
0.24999	2.64835E-9	0.24999	2.33114E-9		
0.26	2.80058E-9	0.26001	2.43473E-9		
0.26998	2.97117E-9	0.26998	2.5456E-9		
0.28	3.09145E-9	0.28	2.66731E-9		
0.28997	3.25239E-9	0.28998	2.7746E-9		
0.29999	3.39687E-9	0.29999	2.8882E-9		
0.31	3.55184E-9	0.31001	3.04723E-9		
0.31999	3.70085E-9	0.31999	3.16513E-9		
0.33	3.87704E-9	0.33001	3.27706E-9		
0.33998	4.05312E-9	0.33998	3.40581E-9		
0.35001	4.23336E-9	0.35001	3.50797E-9		
0.35998	4.40037E-9	0.35998	3.63696E-9		
0.37	4.53949E-9	0.37	3.76809E-9		
0.37998	4.7847E-9	0.37999	3.91006E-9		
0.39	4.97246E-9	0.39001	4.06432E-9		
0.39999	5.15223E-9	0.39998	4.20296E-9		
0.41	5.35858E-9	0.41	4.37069E-9		
0.42002	5.5424E-9	0.42002	4.58288E-9		
0.42999	5.68795E-9	0.43	4.79496E-9		
0.44	5.92017E-9	0.44001	5.00262E-9		
0.44999	6.08182E-9	0.44999	5.16713E-9		
0.46001	6.23167E-9	0.46001	5.30887E-9		
0.46999	6.40965E-9	0.46998	5.46658E-9		
0.48001	6.58381E-9	0.48	5.64814E-9		
0.48999	6.75285E-9	0.48999	5.85115E-9		
0.50001	6.93178E-9	0.5	6.02591E-9		
0.51002	7.12204E-9	0.51003	6.21939E-9		
0.52	7.31742E-9	0.52001	6.34849E-9		
0.53002	7.51889E-9	0.53002	6.5527E-9		
0.54	7.77197E-9	0.54001	6.75154E-9		
0.55002	7.99143E-9	0.55002	6.93703E-9		
0.55999	8.20017E-9	0.56001	7.13944E-9		
0.57001	8.42893E-9	0.57002	7.37953E-9		
0.57999	8.64804E-9	0.57999	7.53021E-9		
0.59001	8.89218E-9	0.59001	7.66075E-9		
0.59999	9.08768E-9	0.59999	7.86316E-9		
0.61001	9.34148E-9	0.61001	8.0477E-9		
0.62002	9.56917E-9	0.62002	8.28195E-9		
0.63	9.87875E-9	0.63	8.50368E-9		
0.64001	1.00846E-8	0.64001	8.70562E-9		
0.65	1.03432E-8	0.65	8.90291E-9		
0.66001	1.05883E-8	0.66002	9.05395E-9		
0.67	1.08163E-8	0.67	9.30834E-9		
0.68002	1.10793E-8	0.68002	9.53579E-9		
0.69	1.13833E-8	0.69	9.75978E-9		
0.70001	1.16587E-8	0.70001	9.98271E-9		
0.71003	1.19282E-8	0.71003	1.02201E-8		
0.72001	1.22596E-8	0.72001	1.04655E-8		
0.73003	1.25774E-8	0.73003	1.06788E-8		
0.74001	1.27904E-8	0.74001	1.0915E-8		
0.75002	1.30062E-8	0.75002	1.11706E-8		
0.76	1.33032E-8	0.76	1.14326E-8		
0.77002	1.36362E-8	0.77002	1.17315E-8		
0.77999	1.39167E-8	0.77999	1.19963E-8		
0.79002	1.42093E-8	0.79001	1.22842E-8		
0.8	1.44291E-8	0.79999	1.25425E-8		
0.81001	1.46873E-8	0.81001	1.28219E-8		
0.82002	1.49547E-8	0.82002	1.30906E-8		
0.83001	1.51814E-8	0.83001	1.34126E-8		
0.84002	1.54088E-8	0.84003	1.37064E-8		
0.85	1.5664E-8	0.85	1.40291E-8		
0.86002	1.58631E-8	0.86002	1.43586E-8		
0.86999	1.61426E-8	0.87	1.47165E-8		
0.88001	1.62864E-8	0.88001	1.50118E-8		
0.88999	1.65279E-8	0.88999	1.53449E-8		
0.9	1.68465E-8	0.9	1.56665E-8		
0.91003	1.71081E-8	0.91002	1.60683E-8		
0.92	1.73697E-8	0.92001	1.62656E-8		
0.93003	1.7627E-8	0.93002	1.66512E-8		
0.94001	1.78959E-8	0.94001	1.69455E-8		
0.95002	1.81478E-8	0.95002	1.72095E-8		
0.96	1.84306E-8	0.96	1.75829E-8		
0.97002	1.87275E-8	0.97002	1.79958E-8		
0.97999	1.90544E-8	0.98	1.83215E-8		
0.99001	1.92926E-8	0.99002	1.86759E-8		
0.99999	1.96075E-8	1	1.90297E-8		
0.99999	1.96975E-8	1	1.90859E-8		
0.99001	1.94845E-8	0.99002	1.89804E-8		
0.98	1.93715E-8	0.98	1.88893E-8		
0.97001	1.91931E-8	0.97002	1.87653E-8		
0.96	1.89527E-8	0.96	1.85847E-8		
0.95002	1.87833E-8	0.95002	1.84077E-8		
0.94001	1.85561E-8	0.94001	1.82195E-8		
0.93002	1.83028E-8	0.93002	1.80268E-8		
0.92001	1.81768E-8	0.92001	1.78766E-8		
0.91002	1.79296E-8	0.91002	1.76252E-8		
0.90001	1.7713E-8	0.90001	1.74428E-8		
0.89	1.7538E-8	0.88999	1.72166E-8		
0.88002	1.73676E-8	0.88001	1.70095E-8		
0.87	1.71552E-8	0.87	1.67797E-8		
0.86002	1.69439E-8	0.86001	1.66163E-8		
0.85	1.67322E-8	0.85	1.64139E-8		
0.84002	1.65132E-8	0.84002	1.62505E-8		
0.83001	1.62743E-8	0.83001	1.6036E-8		
0.82003	1.60165E-8	0.82002	1.57926E-8		
0.81002	1.58072E-8	0.81001	1.56068E-8		
0.8	1.55845E-8	0.79999	1.53689E-8		
0.79001	1.53708E-8	0.79002	1.51805E-8		
0.78	1.51287E-8	0.77999	1.49357E-8		
0.77001	1.48687E-8	0.77001	1.47425E-8		
0.76	1.46543E-8	0.75999	1.45291E-8		
0.75002	1.44197E-8	0.75001	1.43247E-8		
0.74001	1.42003E-8	0.74	1.4082E-8		
0.73004	1.40015E-8	0.73002	1.38822E-8		
0.72002	1.37454E-8	0.72001	1.36527E-8		
0.71004	1.3471E-8	0.71003	1.34467E-8		
0.70002	1.32879E-8	0.70002	1.32225E-8		
0.69	1.30827E-8	0.69	1.30197E-8		
0.68002	1.28564E-8	0.68002	1.27935E-8		
0.66999	1.25849E-8	0.67	1.25715E-8		
0.66002	1.2354E-8	0.66002	1.23603E-8		
0.65	1.21269E-8	0.65	1.21578E-8		
0.64001	1.19221E-8	0.64002	1.19193E-8		
0.63001	1.16615E-8	0.63	1.17069E-8		
0.62002	1.14287E-8	0.62002	1.14968E-8		
0.61001	1.12252E-8	0.61001	1.12834E-8		
0.59999	1.09774E-8	0.59999	1.10532E-8		
0.59001	1.07442E-8	0.59001	1.08376E-8		
0.57999	1.0529E-8	0.57999	1.06316E-8		
0.57002	1.02972E-8	0.57001	1.03661E-8		
0.56	1.00925E-8	0.55999	1.01615E-8		
0.55002	9.84097E-9	0.55001	9.95672E-9		
0.54001	9.64344E-9	0.54	9.7717E-9		
0.53002	9.39476E-9	0.53001	9.55021E-9		
0.52	9.17661E-9	0.52	9.3261E-9		
0.51002	8.96084E-9	0.51002	9.10771E-9		
0.50001	8.70645E-9	0.49999	8.89671E-9		
0.48998	8.51536E-9	0.48998	8.67593E-9		
0.48	8.2612E-9	0.47999	8.45516E-9		
0.46999	8.06475E-9	0.46998	8.24022E-9		
0.46001	7.83217E-9	0.46	8.03304E-9		
0.44998	7.60066E-9	0.44999	7.81345E-9		
0.44001	7.38716E-9	0.44001	7.61163E-9		
0.42999	7.19225E-9	0.43	7.38585E-9		
0.42001	6.98149E-9	0.42001	7.18856E-9		
0.41	6.75631E-9	0.41	6.97398E-9		
0.39999	6.54554E-9	0.39999	6.77013E-9		
0.39	6.35445E-9	0.39001	6.55448E-9		
0.37998	6.14882E-9	0.37999	6.34301E-9		
0.37	5.95844E-9	0.37001	6.1301E-9		
0.35999	5.72586E-9	0.35999	5.9123E-9		
0.35001	5.50652E-9	0.35	5.68891E-9		
0.33998	5.31769E-9	0.33998	5.48589E-9		
0.33	5.06854E-9	0.33	5.28276E-9		
0.31999	4.86231E-9	0.31998	5.07021E-9		
0.31001	4.65333E-9	0.31001	4.86743E-9		
0.29999	4.46522E-9	0.29999	4.67777E-9		
0.28998	4.27651E-9	0.28998	4.48108E-9		
0.28	4.08638E-9	0.28	4.2758E-9		
0.26998	3.92759E-9	0.26998	4.06337E-9		
0.25999	3.74413E-9	0.26	3.86858E-9		
0.24998	3.53873E-9	0.24999	3.68023E-9		
0.24	3.35705E-9	0.24001	3.49271E-9		
0.22999	3.18599E-9	0.22999	3.29888E-9		
0.22001	3.00217E-9	0.22	3.10493E-9		
0.20999	2.83182E-9	0.20999	2.92313E-9		
0.20002	2.64668E-9	0.20003	2.74336E-9		
0.19003	2.48897E-9	0.19002	2.55871E-9		
0.18003	2.31624E-9	0.18002	2.38729E-9		
0.17003	2.14934E-9	0.17002	2.21729E-9		
0.16003	1.97363E-9	0.16002	2.03574E-9		
0.15003	1.8096E-9	0.15002	1.87814E-9		
0.14003	1.65689E-9	0.14002	1.70541E-9		
0.13003	1.4987E-9	0.13002	1.53649E-9		
0.12003	1.34575E-9	0.12002	1.37532E-9		
0.11002	1.2033E-9	0.11002	1.22511E-9		
0.10002	1.05023E-9	0.10002	1.06192E-9		
0.09002	9.06825E-10	0.09002	9.06229E-10		
0.08003	7.71403E-10	0.08002	7.51376E-10		
0.07003	6.35505E-10	0.07002	6.03676E-10		
0.06003	4.96149E-10	0.06002	4.63128E-10		
0.05002	3.67641E-10	0.05002	3.27349E-10		
0.04003	2.27332E-10	0.04002	1.87755E-10		
0.03002	9.2864E-11	0.03002	6.47306E-11		
0.02003	-3.46899E-11	0.02002	-7.76052E-11		
0.01003	-1.5676E-10	0.01002	-2.00868E-10		
2.70367E-5	-2.84433E-10	2.14577E-5	-3.21746E-10		
-0.00999	-4.18544E-10	-0.01	-4.54783E-10		
-0.01999	-5.45144E-10	-0.02	-5.59092E-10		
-0.03	-6.64949E-10	-0.03	-6.63877E-10		
-0.04	-7.80702E-10	-0.04001	-7.64012E-10		
-0.05	-9.06467E-10	-0.05	-8.56757E-10		
-0.06	-1.03068E-9	-0.06	-9.45449E-10		
-0.07	-1.14846E-9	-0.07	-1.04642E-9		
-0.08	-1.26672E-9	-0.08	-1.13213E-9		
-0.09	-1.38056E-9	-0.09	-1.23477E-9		
-0.1	-1.51587E-9	-0.1	-1.32489E-9		
-0.11	-1.63674E-9	-0.11	-1.42157E-9		
-0.12001	-1.76322E-9	-0.12	-1.51348E-9		
-0.13001	-1.89328E-9	-0.12999	-1.61648E-9		
-0.14	-2.0231E-9	-0.14	-1.71828E-9		
-0.15	-2.14911E-9	-0.15	-1.80161E-9		
-0.16	-2.2912E-9	-0.16	-1.88112E-9		
-0.16999	-2.41876E-9	-0.17	-1.96004E-9		
-0.17999	-2.55466E-9	-0.18	-2.06876E-9		
-0.18999	-2.68137E-9	-0.19	-2.16758E-9		
-0.19999	-2.83325E-9	-0.2	-2.26223E-9		
-0.20998	-2.9664E-9	-0.20999	-2.37858E-9		
-0.21999	-3.09956E-9	-0.22	-2.47025E-9		
-0.22997	-3.24285E-9	-0.22997	-2.5816E-9		
-0.24	-3.38995E-9	-0.24	-2.67744E-9		
-0.24997	-3.53503E-9	-0.24998	-2.79856E-9		
-0.25999	-3.7092E-9	-0.25999	-2.90799E-9		
-0.26998	-3.84688E-9	-0.26997	-3.02792E-9		
-0.27999	-4.02403E-9	-0.27999	-3.14975E-9		
-0.29	-4.22263E-9	-0.28999	-3.28827E-9		
-0.29998	-4.4179E-9	-0.29999	-3.41654E-9		
-0.30999	-4.58384E-9	-0.31	-3.57032E-9		
-0.31998	-4.76003E-9	-0.31998	-3.68631E-9		
-0.32999	-4.94826E-9	-0.33	-3.82531E-9		
-0.33997	-5.14472E-9	-0.33997	-3.9742E-9		
-0.35	-5.40006E-9	-0.35	-4.12059E-9		
-0.35997	-5.57745E-9	-0.35998	-4.25601E-9		
-0.36999	-5.77903E-9	-0.36999	-4.48072E-9		
-0.38001	-5.98311E-9	-0.38001	-4.63259E-9		
-0.38999	-6.13832E-9	-0.38999	-4.81296E-9		
-0.40001	-6.28519E-9	-0.40001	-5.0056E-9		
-0.40999	-6.4863E-9	-0.40998	-5.13673E-9		
-0.42001	-6.65295E-9	-0.42	-5.30994E-9		
-0.42998	-6.84559E-9	-0.42999	-5.51033E-9		
-0.44	-7.04324E-9	-0.44	-5.651E-9		
-0.44998	-7.25985E-9	-0.44998	-5.80859E-9		
-0.46	-7.42829E-9	-0.46	-5.98121E-9		
-0.47001	-7.64906E-9	-0.47001	-6.17659E-9		
-0.47999	-7.83157E-9	-0.47999	-6.3628E-9		
-0.49001	-8.07273E-9	-0.49	-6.48558E-9		
-0.49999	-8.28528E-9	-0.49998	-6.66368E-9		
-0.51	-8.52001E-9	-0.51	-6.88601E-9		
-0.51999	-8.69393E-9	-0.51997	-7.0858E-9		
-0.53001	-8.95226E-9	-0.53	-7.25508E-9		
-0.53999	-9.09543E-9	-0.53999	-7.39384E-9		
-0.55001	-9.29773E-9	-0.55001	-7.59077E-9		
-0.56002	-9.50253E-9	-0.56002	-7.81548E-9		
-0.57	-9.72235E-9	-0.57	-8.03483E-9		
-0.58002	-9.98807E-9	-0.58001	-8.18086E-9		
-0.59	-1.02075E-8	-0.58999	-8.36146E-9		
-0.6	-1.05669E-8	-0.6	-8.5597E-9		
-0.60999	-1.07887E-8	-0.60999	-8.78048E-9		
-0.62	-1.10099E-8	-0.62	-8.91638E-9		
-0.62997	-1.12313E-8	-0.62998	-9.094E-9		
-0.63999	-1.15204E-8	-0.64	-9.33075E-9		
-0.65001	-1.17207E-8	-0.65002	-9.43863E-9		
-0.65999	-1.19702E-8	-0.66	-9.65786E-9		
-0.67001	-1.22592E-8	-0.67001	-9.87709E-9		
-0.68	-1.25766E-8	-0.68	-1.00588E-8		
-0.69001	-1.28047E-8	-0.69001	-1.02109E-8		
-0.69999	-1.31278E-8	-0.69999	-1.03897E-8		
-0.71	-1.33963E-8	-0.71	-1.05935E-8		
-0.71998	-1.35876E-8	-0.71997	-1.08708E-8		
-0.73	-1.38686E-8	-0.72998	-1.10918E-8		
-0.74001	-1.41096E-8	-0.74	-1.1351E-8		
-0.74999	-1.44792E-8	-0.74998	-1.15849E-8		
-0.76001	-1.47281E-8	-0.76001	-1.18606E-8		
-0.76999	-1.50039E-8	-0.76999	-1.21465E-8		
-0.78	-1.52295E-8	-0.78001	-1.23807E-8		
-0.78999	-1.552E-8	-0.78999	-1.26426E-8		
-0.8	-1.57671E-8	-0.8	-1.28928E-8		
-0.80999	-1.6096E-8	-0.80998	-1.32077E-8		
-0.82	-1.635E-8	-0.82	-1.34465E-8		
-0.83001	-1.66301E-8	-0.83003	-1.38142E-8		
-0.83999	-1.6968E-8	-0.84	-1.40072E-8		
-0.85001	-1.72049E-8	-0.85002	-1.42125E-8		
-0.85998	-1.74417E-8	-0.85999	-1.44817E-8		
-0.87	-1.76349E-8	-0.87	-1.47213E-8		
-0.87999	-1.79089E-8	-0.87998	-1.50248E-8		
-0.89	-1.81117E-8	-0.89	-1.52526E-8		
-0.89998	-1.82366E-8	-0.89998	-1.55135E-8		
-0.90999	-1.83537E-8	-0.90999	-1.57849E-8		
-0.92001	-1.83249E-8	-0.92001	-1.61251E-8		
-0.92999	-1.82685E-8	-0.92998	-1.64527E-8		
-0.94001	-1.84051E-8	-0.94001	-1.67816E-8		
-0.94999	-1.85645E-8	-0.94999	-1.70333E-8		
-0.96001	-1.87252E-8	-0.96001	-1.73967E-8		
-0.97	-1.88768E-8	-0.96999	-1.76063E-8		
-0.98001	-1.90324E-8	-0.98001	-1.79925E-8		
-0.98999	-1.92671E-8	-0.98998	-1.82616E-8		
-1.00001	-1.94598E-8	-0.99999	-1.85668E-8		
-1	-1.95394E-8	-0.99999	-1.86092E-8		
-0.98998	-1.9387E-8	-0.98997	-1.84273E-8		
-0.98	-1.92027E-8	-0.98	-1.82629E-8		
-0.96999	-1.89931E-8	-0.96998	-1.8159E-8		
-0.96001	-1.88357E-8	-0.96	-1.79536E-8		
-0.94999	-1.86892E-8	-0.94999	-1.77685E-8		
-0.94001	-1.85361E-8	-0.94001	-1.75987E-8		
-0.92999	-1.83339E-8	-0.92998	-1.74514E-8		
-0.92001	-1.81528E-8	-0.92	-1.72517E-8		
-0.90999	-1.92025E-8	-0.90999	-1.71059E-8		
-0.89998	-1.96449E-8	-0.89997	-1.68945E-8		
-0.89	-1.95554E-8	-0.88999	-1.66947E-8		
-0.87998	-1.93292E-8	-0.87998	-1.64939E-8		
-0.87	-1.90378E-8	-0.87	-1.63444E-8		
-0.85998	-1.87565E-8	-0.85998	-1.62022E-8		
-0.85	-1.84624E-8	-0.85	-1.59893E-8		
-0.83999	-1.81371E-8	-0.84	-1.58092E-8		
-0.83002	-1.78504E-8	-0.83002	-1.55976E-8		
-0.81999	-1.75536E-8	-0.81999	-1.54678E-8		
-0.80998	-1.72811E-8	-0.80998	-1.52851E-8		
-0.8	-1.70089E-8	-0.80001	-1.50731E-8		
-0.78999	-1.67419E-8	-0.79	-1.4866E-8		
-0.78001	-1.65182E-8	-0.78001	-1.46374E-8		
-0.76999	-1.62836E-8	-0.76999	-1.44027E-8		
-0.76	-1.60425E-8	-0.76001	-1.42341E-8		
-0.74999	-1.58082E-8	-0.74999	-1.40271E-8		
-0.74001	-1.55541E-8	-0.74001	-1.38351E-8		
-0.73	-1.53269E-8	-0.72999	-1.36545E-8		
-0.71999	-1.50294E-8	-0.71998	-1.35142E-8		
-0.71	-1.47818E-8	-0.71	-1.33299E-8		
-0.69999	-1.45456E-8	-0.69999	-1.31066E-8		
-0.69	-1.4305E-8	-0.69001	-1.29031E-8		
-0.67999	-1.40787E-8	-0.67999	-1.26761E-8		
-0.67002	-1.38525E-8	-0.67001	-1.24893E-8		
-0.66	-1.35896E-8	-0.66	-1.22699E-8		
-0.65002	-1.33567E-8	-0.65002	-1.21017E-8		
-0.64	-1.31321E-8	-0.64	-1.18955E-8		
-0.62999	-1.29132E-8	-0.62998	-1.16658E-8		
-0.62001	-1.26249E-8	-0.62	-1.14908E-8		
-0.60999	-1.24204E-8	-0.60998	-1.12691E-8		
-0.60001	-1.2171E-8	-0.6	-1.10903E-8		
-0.59	-1.19323E-8	-0.58999	-1.08492E-8		
-0.58002	-1.16839E-8	-0.58001	-1.06474E-8		
-0.57001	-1.14493E-8	-0.56999	-1.04394E-8		
-0.56002	-1.12034E-8	-0.56002	-1.02003E-8		
-0.55	-1.09619E-8	-0.55	-9.96959E-9		
-0.53998	-1.07419E-8	-0.53999	-9.73845E-9		
-0.52999	-1.05073E-8	-0.53001	-9.51409E-9		
-0.51998	-1.02743E-8	-0.51999	-9.32634E-9		
-0.51	-1.00303E-8	-0.51001	-9.14574E-9		
-0.49999	-9.79209E-9	-0.49999	-8.92746E-9		
-0.49	-9.54628E-9	-0.49	-8.67522E-9		
-0.47999	-9.34029E-9	-0.47999	-8.48651E-9		
