Frequency	Memory retention Wien		Frequency	Memory retention Saturation	Frequency	Memory retention
Hz	%		mHz	%	Hz	%
	Wien		Saturation		Crossing type 1
0.0556	0.03963	0.00137	4E-4	0.44805	0.0032	0.03757
0.03623	0.05156	0.00528	0.001	0.47586	0.008	0.03938
0.02604	0.07577	0.01388	0.002	0.47312	0.016	0.02856
0.01543	0.09265	0.01774	0.004	0.64393	0.0325	0.02396
0.01068	0.10663	0.01316	0.008	0.41685	0.0735	0.02077
0.00548	0.09508	0.00368	0.016	0.40449	0.165	0.02169
0.00275	0.06189	0.00264	0.0235	0.37983		
0.00166	0.04073	0.00478	0.167	0.22574		
0.00111	0.03213					
5.5445E-4	0.02778			--		
