Filename,Voltage (V),Current (A)
新建 Microsoft Excel 工作表.xlsx,0.00202,1.77085e-11
新建 Microsoft Excel 工作表.xlsx,0.00402,6.38258e-11
新建 Microsoft Excel 工作表.xlsx,0.00402,6.38258e-11
新建 Microsoft Excel 工作表.xlsx,0.00602,1.09723e-10
新建 Microsoft Excel 工作表.xlsx,0.00602,1.09723e-10
新建 Microsoft Excel 工作表.xlsx,0.00802,1.56138e-10
新建 Microsoft Excel 工作表.xlsx,0.00802,1.56138e-10
新建 Microsoft Excel 工作表.xlsx,0.01002,2.01535e-10
新建 Microsoft Excel 工作表.xlsx,0.01002,2.01535e-10
新建 Microsoft Excel 工作表.xlsx,0.01202,2.45855e-10
新建 Microsoft Excel 工作表.xlsx,0.01202,2.45855e-10
新建 Microsoft Excel 工作表.xlsx,0.01402,2.9125e-10
新建 Microsoft Excel 工作表.xlsx,0.01402,2.9125e-10
新建 Microsoft Excel 工作表.xlsx,0.01602,3.354e-10
新建 Microsoft Excel 工作表.xlsx,0.01602,3.354e-10
新建 Microsoft Excel 工作表.xlsx,0.01802,3.80094e-10
新建 Microsoft Excel 工作表.xlsx,0.01802,3.80094e-10
新建 Microsoft Excel 工作表.xlsx,0.02001,4.25456e-10
新建 Microsoft Excel 工作表.xlsx,0.02001,4.25456e-10
新建 Microsoft Excel 工作表.xlsx,0.02202,4.69592e-10
新建 Microsoft Excel 工作表.xlsx,0.02202,4.69592e-10
新建 Microsoft Excel 工作表.xlsx,0.02402,5.13728e-10
新建 Microsoft Excel 工作表.xlsx,0.02402,5.13728e-10
新建 Microsoft Excel 工作表.xlsx,0.02602,5.55894e-10
新建 Microsoft Excel 工作表.xlsx,0.02602,5.55894e-10
新建 Microsoft Excel 工作表.xlsx,0.02802,6.02686e-10
新建 Microsoft Excel 工作表.xlsx,0.02802,6.02686e-10
新建 Microsoft Excel 工作表.xlsx,0.03002,6.46152e-10
新建 Microsoft Excel 工作表.xlsx,0.03002,6.46152e-10
新建 Microsoft Excel 工作表.xlsx,0.03202,6.88401e-10
新建 Microsoft Excel 工作表.xlsx,0.03202,6.88401e-10
新建 Microsoft Excel 工作表.xlsx,0.03403,7.33055e-10
新建 Microsoft Excel 工作表.xlsx,0.03403,7.33055e-10
新建 Microsoft Excel 工作表.xlsx,0.03603,7.7561e-10
新建 Microsoft Excel 工作表.xlsx,0.03603,7.7561e-10
新建 Microsoft Excel 工作表.xlsx,0.03802,8.16414e-10
