Filename,Frequency_Hz,Normalized_Area,Fit_Value
新建 Microsoft Excel 工作�?xlsx,0.0032,0.937492387,1.022114207
新建 Microsoft Excel 工作�?(2).xlsx,0.008,1,0.781829906
新建 Microsoft Excel 工作�?(3).xlsx,0.016,0.524188488,0.60006185
新建 Microsoft Excel 工作�?(5).xlsx,0.0735,0.245186067,0.200231683
新建 Microsoft Excel 工作�?(4).xlsx,0.0325,0.299770747,0.414228039
新建 Microsoft Excel 工作�?(6).xlsx,0.165,0,-0.011827996
,,,
,,,
,,,
0.0032,0.93749,0.03757,
0.008,1,0.03938,
0.016,0.52419,0.02856,
0.0325,0.29977,0.02396,
0.0735,0.24519,0.02077,
0.165,0,0.02169,
,,,
,,,
0.0032,0.937486599,0.03757,
0.008,1,0.03938,
0.016,0.52414541,0.02856,
0.0325,0.299723564,0.02396,
0.0735,0.245149525,0.02077,
0.165,0,0.02169,
