Filename,Voltage (V),Current (A)
s8a 1mhz.xlsx,0.005,6.4373e-12
s8a 1mhz.xlsx,0.01001,3.45945e-11
s8a 1mhz.xlsx,0.01001,3.45945e-11
s8a 1mhz.xlsx,0.01501,6.41823e-11
s8a 1mhz.xlsx,0.01501,6.41823e-11
s8a 1mhz.xlsx,0.02,9.2876e-11
s8a 1mhz.xlsx,0.02,9.2876e-11
s8a 1mhz.xlsx,0.025,1.21641e-10
s8a 1mhz.xlsx,0.025,1.21641e-10
s8a 1mhz.xlsx,0.03001,1.5074e-10
s8a 1mhz.xlsx,0.03001,1.5074e-10
s8a 1mhz.xlsx,0.035,1.79803e-10
s8a 1mhz.xlsx,0.035,1.79803e-10
s8a 1mhz.xlsx,0.04,2.08962e-10
s8a 1mhz.xlsx,0.04,2.08962e-10
s8a 1mhz.xlsx,0.045,2.36928e-10
s8a 1mhz.xlsx,0.045,2.36928e-10
s8a 1mhz.xlsx,0.05,2.65753e-10
s8a 1mhz.xlsx,0.05,2.65753e-10
s8a 1mhz.xlsx,0.05501,2.94912e-10
s8a 1mhz.xlsx,0.05501,2.94912e-10
s8a 1mhz.xlsx,0.06001,3.2419e-10
s8a 1mhz.xlsx,0.06001,3.2419e-10
s8a 1mhz.xlsx,0.06501,3.52037e-10
s8a 1mhz.xlsx,0.06501,3.52037e-10
s8a 1mhz.xlsx,0.07001,3.811e-10
s8a 1mhz.xlsx,0.07001,3.811e-10
s8a 1mhz.xlsx,0.075,4.08506e-10
s8a 1mhz.xlsx,0.075,4.08506e-10
s8a 1mhz.xlsx,0.08001,4.3757e-10
s8a 1mhz.xlsx,0.08001,4.3757e-10
s8a 1mhz.xlsx,0.085,4.65465e-10
s8a 1mhz.xlsx,0.085,4.65465e-10
s8a 1mhz.xlsx,0.09,4.9386e-10
s8a 1mhz.xlsx,0.09,4.9386e-10
s8a 1mhz.xlsx,0.09501,5.20802e-10
s8a 1mhz.xlsx,0.09501,5.20802e-10
s8a 1mhz.xlsx,0.1,5.49984e-10
s8a 1mhz.xlsx,0.1,5.49984e-10
s8a 1mhz.xlsx,0.10501,5.78344e-10
s8a 1mhz.xlsx,0.10501,5.78344e-10
s8a 1mhz.xlsx,0.11001,6.05762e-10
s8a 1mhz.xlsx,0.11001,6.05762e-10
s8a 1mhz.xlsx,0.11501,6.32894e-10
s8a 1mhz.xlsx,0.11501,6.32894e-10
s8a 1mhz.xlsx,0.12001,6.60753e-10
s8a 1mhz.xlsx,0.12001,6.60753e-10
s8a 1mhz.xlsx,0.12501,6.8922e-10
s8a 1mhz.xlsx,0.12501,6.8922e-10
s8a 1mhz.xlsx,0.13,7.16114e-10
s8a 1mhz.xlsx,0.13,7.16114e-10
s8a 1mhz.xlsx,0.13501,7.44557e-10
s8a 1mhz.xlsx,0.13501,7.44557e-10
s8a 1mhz.xlsx,0.14001,7.70867e-10
s8a 1mhz.xlsx,0.14001,7.70867e-10
s8a 1mhz.xlsx,0.145,7.97236e-10
s8a 1mhz.xlsx,0.145,7.97236e-10
s8a 1mhz.xlsx,0.15,8.24404e-10
s8a 1mhz.xlsx,0.15,8.24404e-10
s8a 1mhz.xlsx,0.155,8.48997e-10
s8a 1mhz.xlsx,0.155,8.48997e-10
s8a 1mhz.xlsx,0.16001,8.76558e-10
s8a 1mhz.xlsx,0.16001,8.76558e-10
s8a 1mhz.xlsx,0.165,9.03106e-10
s8a 1mhz.xlsx,0.165,9.03106e-10
s8a 1mhz.xlsx,0.17,9.29689e-10
s8a 1mhz.xlsx,0.17,9.29689e-10
s8a 1mhz.xlsx,0.175,9.57298e-10
s8a 1mhz.xlsx,0.175,9.57298e-10
s8a 1mhz.xlsx,0.18,9.81057e-10
s8a 1mhz.xlsx,0.18,9.81057e-10
s8a 1mhz.xlsx,0.18499,1.00704e-09
s8a 1mhz.xlsx,0.18499,1.00704e-09
s8a 1mhz.xlsx,0.19,1.03166e-09
s8a 1mhz.xlsx,0.19,1.03166e-09
s8a 1mhz.xlsx,0.195,1.05572e-09
s8a 1mhz.xlsx,0.195,1.05572e-09
s8a 1mhz.xlsx,0.20001,1.08333e-09
s8a 1mhz.xlsx,0.20001,1.08333e-09
s8a 1mhz.xlsx,0.20496,1.105e-09
s8a 1mhz.xlsx,0.20496,1.105e-09
s8a 1mhz.xlsx,0.20997,1.13151e-09
s8a 1mhz.xlsx,0.20997,1.13151e-09
s8a 1mhz.xlsx,0.21498,1.15674e-09
s8a 1mhz.xlsx,0.21498,1.15674e-09
s8a 1mhz.xlsx,0.21999,1.17568e-09
s8a 1mhz.xlsx,0.21999,1.17568e-09
s8a 1mhz.xlsx,0.22496,1.20137e-09
s8a 1mhz.xlsx,0.22496,1.20137e-09
s8a 1mhz.xlsx,0.22996,1.22533e-09
