E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	15.4 mHz		26.0 mHz		55.6 mHz		1.7 mHz		0.55 mHz
0	1.09139E-10	0	1.64382E-11	0	7.40333E-12	0	1.05941E-11	0	5.56686E-12
0.05769	9.40357E-10	0.10714	1.11286E-9	0.25	3.01364E-9	0.006	6.74951E-11	0.002	2.1578E-11
0.11539	1.72561E-9	0.21429	2.56102E-9	0.5	1.31925E-8	0.012	1.19893E-10	0.004	3.65368E-11
0.17308	2.61298E-9	0.32143	5.03855E-9	0.75	2.95478E-8	0.018	1.75458E-10	0.006	5.13982E-11
0.23077	3.81512E-9	0.42857	8.97873E-9	0.75	3.31752E-8	0.024	2.30099E-10	0.008	6.63314E-11
0.28846	5.10348E-9	0.53571	1.51245E-8	0.5	1.75551E-8	0.03	2.85075E-10	0.01	8.13959E-11
0.34615	6.78394E-9	0.64286	2.12372E-8	0.25	5.59205E-9	0.036	3.40342E-10	0.012	9.6185E-11
0.40385	8.77821E-9	0.75	3.00204E-8	0	-1.52061E-10	0.042	3.96493E-10	0.014	1.10505E-10
0.46154	1.16556E-8	0.75	3.25545E-8	-0.25	-2.5343E-9	0.048	4.53194E-10	0.016	1.26437E-10
0.51923	1.61656E-8	0.65	2.70297E-8	-0.5	-6.87955E-9	0.054	5.13029E-10	0.018	1.42119E-10
0.57692	2.00958E-8	0.55	2.14049E-8	-0.75	-2.1179E-8	0.06	5.74664E-10	0.02	1.57457E-10
0.63462	2.51323E-8	0.45	1.61881E-8	-0.75	-2.5269E-8	0.066	6.3628E-10	0.022	1.73442E-10
0.69231	3.23139E-8	0.35	1.14852E-8	-0.5	-1.33897E-8	0.072	7.01437E-10	0.024	1.88674E-10
0.75	4.77115E-8	0.25	7.0942E-9	-0.25	-4.25364E-9	0.078	7.68482E-10	0.026	2.04679E-10
0.75	4.88661E-8	0.15	3.54029E-9	0	1.46365E-10	0.084	8.40588E-10	0.028	2.20952E-10
0.69	4.40593E-8	0.05	8.11885E-10			0.09	9.13911E-10	0.03	2.37585E-10
0.63	3.85877E-8	-0.05	-9.7979E-10			0.096	9.92246E-10	0.032	2.54251E-10
0.57	3.34805E-8	-0.15	-2.48952E-9			0.102	1.11689E-9	0.034	2.71521E-10
0.51	2.84696E-8	-0.25	-4.24542E-9			0.108	1.19762E-9	0.036	2.88681E-10
0.45	2.36961E-8	-0.35	-6.46928E-9			0.114	1.28713E-9	0.038	3.06097E-10
0.39	1.92589E-8	-0.45	-9.57975E-9			0.12	1.37527E-9	0.04	3.24067E-10
0.33	1.50946E-8	-0.55	-1.45966E-8			0.126	1.45883E-9	0.042	3.4239E-10
0.27	1.12532E-8	-0.65	-2.30922E-8			0.132	1.55693E-9	0.044	3.60583E-10
0.21	6.77233E-9	-0.75	-3.22044E-8			0.138	1.65656E-9	0.046	3.79348E-10
0.15	3.64707E-9	-0.75	-3.46518E-8			0.144	1.76743E-9	0.048	3.9877E-10
0.09	1.79018E-9	-0.64286	-2.80387E-8			0.15	1.87467E-9	0.05	4.1866E-10
0.03	3.98836E-10	-0.53571	-2.13557E-8			0.156	1.99925E-9	0.052	4.39508E-10
-0.03	-5.83112E-10	-0.42857	-1.49423E-8			0.162	2.13402E-9	0.054	4.60627E-10
-0.09	-1.38563E-9	-0.32143	-9.54029E-9			0.168	2.28417E-9	0.056	4.8384E-10
-0.15	-2.21962E-9	-0.21429	-5.15401E-9			0.174	2.46976E-9	0.058	5.05501E-10
-0.21	-3.15421E-9	-0.10714	-1.93299E-9			0.18	3.04644E-9	0.06	5.28685E-10
-0.27	-4.30375E-9	0	1.4364E-10			0.186	3.078E-9	0.062	5.51183E-10
-0.33	-5.69788E-9					0.192	3.2581E-9	0.064	5.74199E-10
-0.39	-7.58072E-9					0.198	3.45212E-9	0.066	5.95918E-10
-0.45	-9.76331E-9					0.204	3.6358E-9	0.068	6.21464E-10
-0.51	-1.41549E-8					0.21	3.84766E-9	0.07	6.4694E-10
-0.57	-1.76916E-8					0.216	4.06537E-9	0.072	6.73801E-10
-0.63	-2.20946E-8					0.222	4.25012E-9	0.074	6.99415E-10
-0.69	-2.76812E-8					0.228	4.48409E-9	0.076	7.28825E-10
-0.75	-3.36406E-8					0.234	4.83249E-9	0.078	7.56713E-10
-0.75	-3.54822E-8					0.24	5.22445E-9	0.08	7.84936E-10
-0.69231	-3.19156E-8					0.246	5.47935E-9	0.082	8.16648E-10
-0.63462	-2.82935E-8					0.252	5.74042E-9	0.084	8.46394E-10
-0.57692	-2.45808E-8					0.258	6.19197E-9	0.086	8.79227E-10
-0.51923	-2.07592E-8					0.264	6.43209E-9	0.088	9.13775E-10
-0.46154	-1.71866E-8					0.27	6.85984E-9	0.09	9.50792E-10
-0.40385	-1.37395E-8					0.276	7.26676E-9	0.092	9.87722E-10
-0.34615	-1.08352E-8					0.282	7.93469E-9	0.094	1.02826E-9
-0.28846	-7.93971E-9					0.288	9.0556E-9	0.096	1.08033E-9
-0.23077	-5.60451E-9					0.294	1.01249E-8	0.098	1.11335E-9
-0.17308	-3.65023E-9					0.3	1.07231E-8	0.1	1.14961E-9
-0.11539	-1.98823E-9					0.306	1.14163E-8	0.102	1.18293E-9
-0.05769	-7.33101E-10					0.312	1.19267E-8	0.104	1.21329E-9
0	1.5228E-10					0.318	1.24797E-8	0.106	1.26586E-9
