E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	1 mHz		9 mHz		81 mHz		95 mHz		112 mHz

0	-5.48363E-12	0	4.29153E-12	0	3.3021E-12	0	4.11272E-12	0	9.04799E-12
0.002	2.16961E-11	0.01	6.47306E-11	0.05	2.12622E-10	0.05714	2.36344E-10	0.05714	2.95305E-10
0.004	3.48091E-11	0.02	1.21152E-10	0.1	4.25816E-10	0.11429	4.80711E-10	0.11429	5.67508E-10
0.006	5.8651E-11	0.03	1.74499E-10	0.15	7.06458E-10	0.17143	8.55899E-10	0.17143	9.6736E-10
0.008	8.11815E-11	0.04	2.27702E-10	0.2	1.20398E-9	0.22857	1.56432E-9	0.22857	1.65813E-9
0.01	1.01686E-10	0.05	2.79188E-10	0.25	1.98065E-9	0.28571	2.64294E-9	0.28571	2.67125E-9
0.012	1.25527E-10	0.06	3.32487E-10	0.3	3.21915E-9	0.34286	4.6025E-9	0.34286	4.35784E-9
0.014	1.41621E-10	0.07	3.88801E-10	0.35	5.25147E-9	0.4	8.6044E-9	0.4	7.50827E-9
0.016	1.57475E-10	0.08	4.43625E-10	0.4	9.92204E-9	0.4	2.05992E-8	0.4	1.22864E-8
0.018	1.76549E-10	0.09	5.02634E-10	0.4	2.27772E-8	0.33846	1.792E-8	0.33846	1.1734E-8
0.02	1.96815E-10	0.1	5.72479E-10	0.35	2.14376E-8	0.27692	6.36117E-9	0.27692	5.03132E-9
0.022	2.16961E-10	0.11	6.4466E-10	0.3	1.68547E-8	0.21539	3.16538E-9	0.21539	2.88587E-9
0.024	2.29001E-10	0.12	7.31111E-10	0.25	5.49083E-9	0.15385	1.58718E-9	0.15385	1.48139E-9
0.026	2.48075E-10	0.13	8.29339E-10	0.2	2.93797E-9	0.09231	6.11532E-10	0.09231	5.89979E-10
0.028	2.6989E-10	0.14	9.46772E-10	0.15	1.54281E-9	0.03077	1.26433E-10	0.03077	1.12474E-10
0.03	2.84433E-10	0.15	1.07244E-9	0.1	7.00688E-10	-0.03077	-1.64461E-10	-0.03077	-1.89281E-10
0.032	3.06606E-10	0.16	1.21934E-9	0.05	2.5003E-10	-0.09231	-4.39596E-10	-0.09231	-4.80258E-10
0.034	3.25441E-10	0.17	1.41134E-9	0	-2.62618E-11	-0.15385	-9.43553E-10	-0.15385	-1.02081E-9
0.036	3.47614E-10	0.18	1.6294E-9	-0.05	-2.41447E-10	-0.21539	-2.21441E-9	-0.21539	-2.2987E-9
0.038	3.64304E-10	0.19	1.86156E-9	-0.1	-4.86135E-10	-0.27692	-4.29072E-9	-0.27692	-4.44864E-9
0.04	3.7384E-10	0.2	2.13009E-9	-0.15	-9.16243E-10	-0.33846	-7.65296E-9	-0.33846	-7.84045E-9
0.042	3.86953E-10	0.21	2.44427E-9	-0.2	-1.88423E-9	-0.4	-1.28397E-8	-0.4	-1.41909E-8
0.044	4.06146E-10	0.22	2.82022E-9	-0.25	-3.37211E-9	-0.4	-1.57938E-8	-0.4	-2.09186E-8
0.046	4.28438E-10	0.23	3.25203E-9	-0.3	-5.51811E-9	-0.34286	-1.49259E-8	-0.34286	-1.79846E-8
0.048	4.40121E-10	0.24	3.88367E-9	-0.35	-9.07818E-9	-0.28571	-1.18716E-8	-0.28571	-1.3206E-8
0.05	4.69565E-10	0.25	6.13635E-9	-0.4	-1.35738E-8	-0.22857	-8.19041E-9	-0.22857	-8.46361E-9
0.052	4.89235E-10	0.26	7.35183E-9	-0.4	-1.76486E-8	-0.17143	-4.72533E-9	-0.17143	-4.64072E-9
0.054	5.08308E-10	0.27	8.75515E-9	-0.35	-1.7056E-8	-0.11429	-1.85194E-9	-0.11429	-1.83944E-9
0.056	5.26547E-10	0.28	1.06938E-8	-0.3	-1.66321E-8	-0.05714	-4.89306E-10	-0.05714	-4.90236E-10
0.058	5.45383E-10	0.29	1.70411E-8	-0.25	-1.27693E-8			0	5.09381E-11
0.06	5.57184E-10	0.3	2.28173E-8	-0.2	-8.39402E-9				
0.062	5.8341E-10	0.31	2.69771E-8	-0.15	-4.51311E-9				
0.064	6.05941E-10	0.32	3.12148E-8	-0.1	-1.71535E-9				
0.066	6.27041E-10	0.33	3.68697E-8	-0.05	-4.65095E-10				
0.068	6.47306E-10	0.34	4.09649E-8	0	3.20554E-11				
0.07	6.69718E-10	0.35	4.90482E-8						
0.072	6.81162E-10	0.36	5.55159E-8						
0.074	7.08938E-10	0.37	6.17376E-8						
0.076	7.2813E-10	0.38	6.84625E-8						
0.078	7.50184E-10	0.39	7.38384E-8						
0.08	7.71403E-10	0.4	7.94668E-8						
0.082	7.98225E-10	0.4	8.07113E-8						
0.084	8.25286E-10	0.39	7.7654E-8						
0.086	8.39591E-10	0.38	7.60964E-8						
0.088	8.68082E-10	0.37	7.51562E-8						
0.09	8.95739E-10	0.36	6.2579E-8						
0.092	9.11355E-10	0.35	5.87268E-8						
0.094	9.49502E-10	0.34	5.36051E-8						
0.096	9.65595E-10	0.33	3.94425E-8						
0.098	9.96113E-10	0.32	3.39461E-8						
0.1	1.02365E-9	0.31	3.14079E-8						
0.102	1.04964E-9	0.3	2.88394E-8						
0.104	1.07098E-9	0.29	3.2955E-8						
0.106	1.09529E-9	0.28	2.71299E-8						
0.108	1.13189E-9	0.27	2.25925E-8						
0.11	1.16396E-9	0.26	2.0637E-8						
0.112	1.19603E-9	0.25	1.87068E-8						
0.114	1.22988E-9	0.24	1.68033E-8						
0.116	1.26398E-9	0.23	1.46108E-8						
0.118	1.29676E-9	0.22	1.24649E-8						
0.12	1.34683E-9	0.21	1.04941E-8						
0.122	1.38581E-9	0.2	8.90979E-9						
0.124	1.41823E-9	0.19	7.68417E-9						
0.126	1.46329E-9	0.18	6.64982E-9						
0.128	1.51324E-9	0.17	5.67521E-9						
0.13	1.55652E-9	0.16	4.72379E-9						
0.132	1.61338E-9	0.15	3.76356E-9						
0.134	1.6526E-9	0.14	2.86398E-9						
0.136	1.69444E-9	0.13	2.35032E-9						
0.138	1.74975E-9	0.12	1.95087E-9						
0.14	1.7997E-9	0.11	1.60397E-9						
0.142	1.85001E-9	0.1	1.33868E-9						
0.144	1.90306E-9	0.09	1.1025E-9						
0.146	1.95277E-9	0.08	8.98457E-10						
0.148	1.94633E-9	0.07	7.10309E-10						
0.15	1.99533E-9	0.06	5.47898E-10						
0.152	2.06554E-9	0.05	4.06837E-10						
0.154	2.10249E-9	0.04	2.88403E-10						
0.156	2.16305E-9	0.03	1.9201E-10						
0.158	2.24149E-9	0.02	1.16265E-10						
0.16	2.30992E-9	0.01	5.34058E-11						
0.162	2.39527E-9	0	-1.16825E-12						
0.164	2.47204E-9	-0.01	-5.27143E-11						
0.166	2.53844E-9	-0.02	-1.02448E-10						
0.168	2.64013E-9	-0.03	-1.51241E-10						
0.17	2.74241E-9	-0.04	-2.00403E-10						
0.172	2.96485E-9	-0.05	-2.53379E-10						
0.174	3.75474E-9	-0.06	-3.09777E-10						
0.176	3.92055E-9	-0.07	-3.71122E-10						
0.178	4.10557E-9	-0.08	-4.41217E-10						
0.18	4.27341E-9	-0.09	-5.18954E-10						
0.182	4.47583E-9	-0.1	-6.09911E-10						
0.184	4.76706E-9	-0.11	-7.15745E-10						
0.186	4.57227E-9	-0.12	-8.44359E-10						
0.188	4.71139E-9	-0.13	-1.00281E-9						
0.19	4.87041E-9	-0.14	-1.20107E-9						
0.192	5.03242E-9	-0.15	-1.45566E-9						
0.194	5.1775E-9	-0.16	-1.82072E-9						
0.196	5.32341E-9	-0.17	-2.7696E-9						
0.198	5.5114E-9	-0.18	-3.80318E-9						
0.2	5.68378E-9	-0.19	-4.60224E-9						
0.202	5.8583E-9	-0.2	-5.49085E-9						
0.204	6.06E-9	-0.21	-7.23863E-9						
0.206	6.23345E-9	-0.22	-9.26206E-9						
0.208	6.4131E-9	-0.23	-1.10974E-8						
0.21	6.59478E-9	-0.24	-1.36642E-8						
0.212	6.79207E-9	-0.25	-1.57859E-8						
0.214	7.00653E-9	-0.26	-1.91236E-8						
