Filename,Voltage (V),Current (A)
B_1mHz.xlsx,0.0027,0.35033
B_1mHz.xlsx,0.0081,0.84597
B_1mHz.xlsx,0.0081,0.84597
B_1mHz.xlsx,0.01351,1.33406
B_1mHz.xlsx,0.01351,1.33406
B_1mHz.xlsx,0.01891,1.81643
B_1mHz.xlsx,0.01891,1.81643
B_1mHz.xlsx,0.0243,2.29492
B_1mHz.xlsx,0.0243,2.29492
B_1mHz.xlsx,0.0297,2.77255
B_1mHz.xlsx,0.0297,2.77255
B_1mHz.xlsx,0.03508,3.24753
B_1mHz.xlsx,0.03508,3.24753
B_1mHz.xlsx,0.04047,3.71865
B_1mHz.xlsx,0.04047,3.71865
B_1mHz.xlsx,0.04584,4.19402
B_1mHz.xlsx,0.04584,4.19402
B_1mHz.xlsx,0.05121,4.66826
B_1mHz.xlsx,0.05121,4.66826
B_1mHz.xlsx,0.05657,5.14867
B_1mHz.xlsx,0.05657,5.14867
B_1mHz.xlsx,0.06192,5.63565
B_1mHz.xlsx,0.06192,5.63565
B_1mHz.xlsx,0.06727,6.12376
B_1mHz.xlsx,0.06727,6.12376
B_1mHz.xlsx,0.0726,6.61928
B_1mHz.xlsx,0.0726,6.61928
B_1mHz.xlsx,0.07792,7.11992
B_1mHz.xlsx,0.07792,7.11992
B_1mHz.xlsx,0.08323,7.62109
B_1mHz.xlsx,0.08323,7.62109
B_1mHz.xlsx,0.08852,8.13694
B_1mHz.xlsx,0.08852,8.13694
B_1mHz.xlsx,0.0938,8.65411
B_1mHz.xlsx,0.0938,8.65411
B_1mHz.xlsx,0.09907,9.1909
B_1mHz.xlsx,0.09907,9.1909
B_1mHz.xlsx,0.10432,9.72761
B_1mHz.xlsx,0.10432,9.72761
B_1mHz.xlsx,0.10955,10.28133
B_1mHz.xlsx,0.10955,10.28133
B_1mHz.xlsx,0.11477,10.82527
B_1mHz.xlsx,0.11477,10.82527
B_1mHz.xlsx,0.11997,11.39934
B_1mHz.xlsx,0.11997,11.39934
B_1mHz.xlsx,0.12514,11.99572
B_1mHz.xlsx,0.12514,11.99572
B_1mHz.xlsx,0.1303,12.59286
B_1mHz.xlsx,0.1303,12.59286
B_1mHz.xlsx,0.13544,13.2089
B_1mHz.xlsx,0.13544,13.2089
B_1mHz.xlsx,0.14056,13.83328
B_1mHz.xlsx,0.14056,13.83328
B_1mHz.xlsx,0.14566,14.45795
B_1mHz.xlsx,0.14566,14.45795
B_1mHz.xlsx,0.15073,15.10265
B_1mHz.xlsx,0.15073,15.10265
B_1mHz.xlsx,0.15578,15.75555
B_1mHz.xlsx,0.15578,15.75555
B_1mHz.xlsx,0.1608,16.43747
B_1mHz.xlsx,0.1608,16.43747
B_1mHz.xlsx,0.1658,17.13016
B_1mHz.xlsx,0.1658,17.13016
B_1mHz.xlsx,0.17077,17.83591
B_1mHz.xlsx,0.17077,17.83591
B_1mHz.xlsx,0.17572,18.55206
B_1mHz.xlsx,0.17572,18.55206
B_1mHz.xlsx,0.18064,19.28746
B_1mHz.xlsx,0.18064,19.28746
B_1mHz.xlsx,0.18552,20.04756
B_1mHz.xlsx,0.18552,20.04756
B_1mHz.xlsx,0.19038,20.82758
B_1mHz.xlsx,0.19038,20.82758
B_1mHz.xlsx,0.19521,21.65131
B_1mHz.xlsx,0.19521,21.65131
B_1mHz.xlsx,0.20001,22.50519
B_1mHz.xlsx,0.20001,22.50519
B_1mHz.xlsx,0.20478,23.34535
B_1mHz.xlsx,0.20478,23.34535
B_1mHz.xlsx,0.20952,24.17662
B_1mHz.xlsx,0.20952,24.17662
B_1mHz.xlsx,0.21422,24.98905
B_1mHz.xlsx,0.21422,24.98905
B_1mHz.xlsx,0.21889,25.8289
B_1mHz.xlsx,0.21889,25.8289
B_1mHz.xlsx,0.22352,26.69127
B_1mHz.xlsx,0.22352,26.69127
B_1mHz.xlsx,0.22812,27.56769
B_1mHz.xlsx,0.22812,27.56769
B_1mHz.xlsx,0.23268,28.44075
B_1mHz.xlsx,0.23268,28.44075
B_1mHz.xlsx,0.23721,29.31292
B_1mHz.xlsx,0.23721,29.31292
B_1mHz.xlsx,0.24169,30.2339
B_1mHz.xlsx,0.24169,30.2339
B_1mHz.xlsx,0.24614,31.15362
B_1mHz.xlsx,0.24614,31.15362
