Filename,Area (V·A = W),Frequency (Hz),,9.096392
B_1mHz.xlsx,4.397877,1.00E-03,4.397877,
B_5mHz.xlsx,7.840798,5.00E-03,7.840798,
B_10mHz.xlsx,9.096392,1.00E-02,9.096392,
B_50mHz.xlsx,5.325669,5.00E-02,5.325669,
B_100mHz.xlsx,4.508763,1.00E-01,4.508763,
B_200mHz.xlsx,3.559367,2.00E-01,3.559367,
,,,,
,,,,
,,,,
1.00E-03,4.397877,0.483474877,0.06906395,
5.00E-03,7.840798,0.86196791,0.135244371,
1.00E-02,9.096392,1,0.162161042,
5.00E-02,5.325669,0.585470481,0.087002531,
1.00E-01,4.508763,0.495664985,0.069553457,
2.00E-01,3.559367,0.391294373,0.03444929,
,,,,
,1.00E-03,0.483474877,0.06906395,
,5.00E-03,0.86196791,0.135244371,
,1.00E-02,1,0.162161042,
,5.00E-02,0.585470481,0.087002531,
,1.00E-01,0.495664985,0.069553457,
,2.00E-01,0.391294373,0.03444929,
