E	I	E	I	E	I	E	I	E	I	E	I
V	nA	V	nA	V	nA	V	nA	V	nA	V	nA
	Sine 1 mHz		Sine 5 mHz		Sine 10 mHz		Sine 50 mHz		Sine 100 mHz		Sine 200 mHz
0.0027	0.35033	0.00675	0.67401	0.00675	0.80111	0.0337	3.99557	0.02698	3.92527	0.02698	5.26143
											
0.0081	0.84597	0.02025	1.72458	0.02025	1.96104	0.10028	10.39431	0.08052	8.76224	0.08051	10.11838
											
0.01351	1.33406	0.03374	2.78666	0.03374	3.12474	0.16438	17.11139	0.13279	13.6362	0.13278	14.83989
											
0.01891	1.81643	0.04718	3.86232	0.04718	4.29669	0.22444	24.47075	0.18296	18.71744	0.18296	19.64589
											
0.0243	2.29492	0.06058	4.94703	0.06058	5.47835	0.27897	32.65012	0.23025	24.08993	0.23025	24.56623
											
0.0297	2.77255	0.07393	6.06927	0.07393	6.68531	0.32664	41.68151	0.27391	29.81698	0.27391	29.67145
											
0.03508	3.24753	0.08719	7.22365	0.08719	7.91078	0.36626	50.87811	0.31325	35.9234	0.31325	34.97094
											
0.04047	3.71865	0.10038	8.40228	0.10038	9.17177	0.39686	59.37214	0.34765	42.30774	0.34764	40.2558
											
0.04584	4.19402	0.11346	9.6349	0.11346	10.47635	0.41769	65.78902	0.37656	48.66789	0.37656	45.51125
											
0.05121	4.66826	0.12643	10.91223	0.12643	11.82533	0.42823	69.94933	0.39954	54.54302	0.39954	50.34468
											
0.05657	5.14867	0.13928	12.25713	0.13928	13.21958	0.42823	71.46555	0.41622	59.51158	0.41622	54.30545
											
0.06192	5.63565	0.15199	13.65101	0.15199	14.65271	0.41769	70.0627	0.42633	63.11352	0.42633	57.30374
											
0.06727	6.12376	0.16455	15.11487	0.16455	16.17819	0.39686	65.8057	0.42972	65.15377	0.42972	59.08161
											
0.0726	6.61928	0.17694	16.65813	0.17694	17.73951	0.36626	59.1048	0.42633	65.46822	0.42633	59.42184
											
0.07792	7.11992	0.18917	18.275	0.18917	19.38305	0.32664	50.49798	0.41622	64.03351	0.41622	57.90515
											
0.08323	7.62109	0.2012	19.96609	0.2012	21.0795	0.27898	40.63333	0.39954	60.89768	0.39954	54.97448
											
0.08852	8.13694	0.21304	21.75343	0.21304	22.8848	0.22444	30.26597	0.37657	56.25796	0.37657	50.69966
											
0.0938	8.65411	0.22467	23.60896	0.22466	24.73548	0.16439	20.12363	0.34765	50.30789	0.34765	45.35743
											
0.09907	9.1909	0.23607	25.57288	0.23607	26.6882	0.10028	10.8679	0.31325	43.44746	0.31325	39.05288
											
0.10432	9.72761	0.24724	27.5681	0.24724	28.72633	0.0337	2.83512	0.27391	35.99756	0.27392	32.21915
											
0.10955	10.28133	0.25817	29.6485	0.25817	30.83496	-0.0337	-4.07672	0.23026	28.28398	0.23026	25.16164
											
0.11477	10.82527	0.26884	31.8367	0.26884	33.02494	-0.10028	-10.23551	0.18297	20.66383	0.18297	18.07511
											
0.11997	11.39934	0.27925	34.00233	0.27925	35.25422	-0.16438	-16.52613	0.13279	13.50337	0.1328	11.34561
											
0.12514	11.99572	0.28938	36.30359	0.28938	37.56395	-0.22444	-23.51654	0.08052	6.98096	0.08053	5.16295
											
0.1303	12.59286	0.29923	38.62375	0.29923	39.90002	-0.27897	-31.6393	0.02699	1.17632	0.02699	-0.41446
											
0.13544	13.2089	0.30878	41.03214	0.30878	42.2394	-0.32664	-40.79211	-0.02698	-3.98795	-0.02698	-5.42188
											
0.14056	13.83328	0.31803	43.43165	0.31803	44.65775	-0.36626	-50.61978	-0.08052	-8.70254	-0.08051	-10.01574
											
0.14566	14.45795	0.32696	45.79765	0.32696	47.11192	-0.39686	-60.04904	-0.13279	-13.2381	-0.13278	-14.33623
											
0.15073	15.10265	0.33557	48.19114	0.33557	49.54497	-0.41769	-67.84486	-0.18296	-17.82053	-0.18296	-18.53171
											
0.15578	15.75555	0.34385	50.62896	0.34385	52.08125	-0.42823	-73.13357	-0.23025	-22.67255	-0.23025	-22.77791
											
0.1608	16.43747	0.35179	53.04423	0.35179	54.55517	-0.42823	-75.52358	-0.27391	-27.95171	-0.27391	-27.11658
											
0.1658	17.13016	0.35938	55.32634	0.35938	56.99176	-0.41769	-74.87069	-0.31325	-33.69188	-0.31325	-31.65767
											
0.17077	17.83591	0.36662	57.72543	0.36662	59.36773	-0.39686	-71.25846	-0.34765	-39.77413	-0.34764	-36.39731
											
0.17572	18.55206	0.3735	60.16392	0.3735	61.74442	-0.36626	-64.80545	-0.37656	-45.78018	-0.37656	-41.12239
											
0.18064	19.28746	0.38	62.48129	0.38	64.08473	-0.32664	-56.01077	-0.39954	-51.48941	-0.39954	-45.47361
											
0.18552	20.04756	0.38614	64.71478	0.38614	66.3011	-0.27898	-45.41662	-0.41622	-56.56307	-0.41622	-49.37825
											
0.19038	20.82758	0.39189	66.6684	0.39189	68.51792	-0.22444	-33.89304	-0.42633	-60.76884	-0.42633	-52.48943
											
0.19521	21.65131	0.39725	68.70693	0.39725	70.66534	-0.16439	-22.46889	-0.42972	-63.68444	-0.42972	-54.5312
											
0.20001	22.50519	0.40222	70.61712	0.40222	72.70594	-0.10028	-12.02157	-0.42633	-65.03409	-0.42633	-55.256
											
0.20478	23.34535	0.4068	72.46188	0.4068	74.68217	-0.0337	-3.07806	-0.41622	-64.62187	-0.41622	-54.61526
											
0.20952	24.17662	0.41097	74.18466	0.41097	76.29513	0.0337	4.49925	-0.39954	-62.3197	-0.39954	-52.58091
											
0.21422	24.98905	0.41474	75.68711	0.41474	77.87845			-0.37657	-58.25533	-0.37657	-49.19973
											
0.21889	25.8289	0.4181	77.14913	0.4181	79.43643			-0.34765	-52.69699	-0.34765	-44.57657
											
0.22352	26.69127	0.42105	78.60128	0.42105	80.79734			-0.31325	-45.93901	-0.31325	-38.92467
											
0.22812	27.56769	0.42358	79.72969	0.42358	81.9983			-0.27391	-38.39361	-0.27392	-32.53637
											
0.23268	28.44075	0.42569	80.70324	0.42569	83.09867			-0.23026	-30.37094	-0.23026	-25.70146
											
0.23721	29.31292	0.42739	81.53934	0.42739	84.0795			-0.18297	-22.27522	-0.18297	-18.6802
											
0.24169	30.2339	0.42866	82.31429	0.42866	84.86898			-0.13279	-14.53077	-0.1328	-11.82915
											
0.24614	31.15362	0.42951	82.85892	0.42951	85.47192			-0.08052	-7.47868	-0.08053	-5.41908
											
0.25056	32.10725	0.42993	83.39662	0.42993	86.02543			-0.02699	-1.23107	-0.02699	0.42069
										0.02698	5.75152
0.25493	33.04598	0.42993	83.70278	0.42993	86.32935			0.02698	4.36257		
											
0.25926	34.05443	0.42951	83.88852	0.42951	86.60144						
											
0.26355	34.96495	0.42866	84.04469	0.42866	86.66655						
											
0.2678	35.88431	0.42739	83.88844	0.42739	86.47128						
											
0.272	36.90344	0.42569	83.58801	0.42569	86.20304						
											
0.27617	37.90741	0.42358	83.11924	0.42358	85.71478						
											
0.28029	38.83341	0.42105	82.5553	0.42105	85.21292						
											
0.28436	39.83915	0.4181	81.81796	0.4181	84.45937						
											
0.28839	40.86901	0.41474	80.90626	0.41474	83.62142						
											
0.29238	41.93604	0.41097	79.93113	0.41097	82.64902						
											
0.29632	42.93895	0.4068	78.83811	0.4068	81.47238						
											
0.30021	43.9648	0.40222	77.59513	0.40222	80.23423						
											
0.30405	44.97911	0.39725	76.175	0.39725	78.87462						
											
0.30785	46.04592	0.39189	74.72375	0.39189	77.47978						
											
0.3116	47.14473	0.38614	73.10533	0.38614	75.79926						
											
